topK,accuracy,precision,recall,F1
0.05,0.75,0.0,0.0,0.0
0.05,0.8571428571428571,0.0,0.0,0.0
0.05,0.75,0.0,0.0,0.0
0.05,0.8571428571428571,0.0,0.0,0.0
0.05,1.0,0.0,0.0,0.0
0.05,0.8571428571428571,0.0,0.0,0.0
0.05,1.0,0.0,0.0,0.0
0.05,0.8571428571428571,0.0,0.0,0.0
0.05,0.6666666666666666,0.0,0.0,0.0
0.05,0.8,1.0,0.3333333333333333,0.5
0.05,0.7,1.0,0.25,0.4
0.05,0.625,0.0,0.0,0.0
0.05,0.8,1.0,0.3333333333333333,0.5
0.05,0.6666666666666666,0.0,0.0,0.0
0.05,0.8571428571428571,0.0,0.0,0.0
0.05,0.7142857142857143,0.0,0.0,0.0
0.05,0.8,0.0,0.0,0.0
0.05,0.5555555555555556,0.0,0.0,0.0
0.05,0.7777777777777778,0.0,0.0,0.0
0.05,0.75,0.0,0.0,0.0
0.05,0.7142857142857143,0.0,0.0,0.0
0.05,0.8571428571428571,0.0,0.0,0.0
0.05,0.75,0.0,0.0,0.0
0.05,0.625,0.0,0.0,0.0
0.05,0.5714285714285714,0.0,0.0,0.0
0.05,0.8,0.0,0.0,0.0
0.05,0.8,0.0,0.0,0.0
0.05,0.6666666666666666,0.0,0.0,0.0
0.05,0.5,0.0,0.0,0.0
0.05,0.6666666666666666,0.0,0.0,0.0
0.05,0.75,0.0,0.0,0.0
0.05,0.75,0.0,0.0,0.0
0.05,0.75,0.0,0.0,0.0
0.05,1.0,0.0,0.0,0.0
0.05,0.6666666666666666,0.0,0.0,0.0
0.05,0.8571428571428571,0.0,0.0,0.0
0.05,0.75,0.0,0.0,0.0
0.05,0.6666666666666666,0.0,0.0,0.0
0.05,0.8888888888888888,0.0,0.0,0.0
0.05,0.8,0.0,0.0,0.0
0.05,0.8571428571428571,0.0,0.0,0.0
0.05,0.5,0.0,0.0,0.0
0.05,0.9,1.0,0.5,0.6666666666666666
0.05,0.6666666666666666,0.0,0.0,0.0
0.05,0.5,0.0,0.0,0.0
0.05,0.75,0.0,0.0,0.0
0.05,0.6,0.0,0.0,0.0
0.05,0.5,0.0,0.0,0.0
0.05,0.7142857142857143,0.0,0.0,0.0
0.05,0.5555555555555556,0.0,0.0,0.0
0.05,0.7142857142857143,0.0,0.0,0.0
0.05,0.625,0.0,0.0,0.0
0.05,0.7777777777777778,0.0,0.0,0.0
0.05,0.6,0.0,0.0,0.0
0.05,0.7142857142857143,0.0,0.0,0.0
0.05,0.5,0.0,0.0,0.0
0.05,0.6,0.0,0.0,0.0
0.05,0.6666666666666666,0.0,0.0,0.0
0.05,0.6666666666666666,0.0,0.0,0.0
0.05,0.7142857142857143,0.0,0.0,0.0
0.05,0.2857142857142857,0.0,0.0,0.0
0.05,0.8571428571428571,0.0,0.0,0.0
0.05,0.75,0.0,0.0,0.0
0.05,0.5714285714285714,0.0,0.0,0.0
0.05,0.6,1.0,0.2,0.33333333333333337
0.05,0.625,0.0,0.0,0.0
0.05,0.7142857142857143,0.0,0.0,0.0
0.05,1.0,1.0,1.0,1.0
0.05,0.8,0.0,0.0,0.0
0.05,1.0,0.0,0.0,0.0
0.05,0.75,0.0,0.0,0.0
0.05,0.8333333333333334,0.0,0.0,0.0
0.05,0.5,0.0,0.0,0.0
0.05,0.625,0.0,0.0,0.0
0.05,0.8571428571428571,0.0,0.0,0.0
0.05,1.0,0.0,0.0,0.0
0.05,0.4,0.0,0.0,0.0
0.05,0.7142857142857143,0.0,0.0,0.0
0.05,0.8181818181818182,1.0,0.3333333333333333,0.5
0.05,0.625,0.0,0.0,0.0
0.05,0.6666666666666666,0.0,0.0,0.0
0.05,0.75,0.0,0.0,0.0
0.05,0.7142857142857143,0.0,0.0,0.0
0.05,0.625,0.0,0.0,0.0
0.05,0.2,0.0,0.0,0.0
0.05,0.8333333333333334,0.0,0.0,0.0
