Lines,Statements,% Branches,Calls,Calls/Statements,% Comments,Methods/Class,Avg Stmts/Method,Max Complexity,Max Depth,Avg Depth,Avg Complexity,WMC,NOF,DIT,NMO,NOC,Abstract,isImportant
500,248,24.6,152,0.612903226,25,9,11.61,19,8,2.98,4.61,57,8,0,0,0,0,0
335,136,5.9,68,0.5,48.4,17,6.47,8,3,1.84,1.65,25,4,1,0,25,0,0
43,6,0,2,0.333333333,72.1,2,1,1,2,1,1,2,0,1,0,1,1,0
149,77,14.3,38,0.493506494,20.8,10,5,7,4,1.87,2.4,24,9,1,0,0,0,0
296,58,10.3,24,0.413793103,67.2,15,2.27,4,4,1.66,1.47,22,2,1,2,0,0,0
76,36,25,16,0.444444444,32.9,4,6.25,7,4,1.89,3.75,12,1,0,0,0,0,0
468,148,13.5,89,0.601351351,46.2,10,5.45,7,5,2.32,2.1,33,2,0,0,0,0,0
160,73,11,27,0.369863014,27.5,5,4.7,5,5,2.08,1.9,14,5,2,4,0,0,0
288,116,19,47,0.405172414,39.6,13,6.31,9,4,1.98,2.77,32,4,0,0,2,1,0
77,32,6.3,4,0.125,19.5,4,1.38,2,4,1.63,1.25,2,4,1,0,4,1,0
280,168,19,155,0.922619048,10.7,4,18.13,26,5,2.55,5.75,33,4,1,0,0,0,0
25,6,0,0,0,68,2,0,0,1,0.33,0,0,0,1,0,0,0,0
690,359,28.7,263,0.732590529,17.4,2.73,10.13,34,8,3.54,4.77,34,7,1,0,0,0,0
69,32,9.4,18,0.5625,26.1,3,7.33,4,4,2.16,2,6,0,2,1,0,0,0
239,131,16.8,73,0.557251908,18,6,7.33,13,5,2.53,3.09,22,13,1,0,0,0,0
77,39,5.1,18,0.461538462,24.7,3,9,3,4,1.97,1.67,5,1,2,1,0,0,0
68,32,9.4,18,0.5625,25,3,7.33,4,4,2.13,2,6,0,2,1,0,0,0
100,45,15.6,25,0.555555556,23,3,10.33,9,6,2.4,3.67,9,1,2,1,0,0,0
1949,975,21.5,606,0.621538462,22.8,4.52,8.58,29,7,2.63,3.62,193,40,1,0,0,0,0
570,337,27,234,0.694362018,10.4,3.71,10.58,44,9,3.09,4.15,78,8,1,0,0,0,0
381,182,18.7,79,0.434065934,30.2,6,5.46,10,6,2.18,2.42,42,4,1,0,0,0,0
555,298,26.2,199,0.667785235,17.1,3.71,9.12,21,8,2.75,3.85,42,7,2,2,0,0,0
238,145,34.5,91,0.627586207,11.8,5,25.8,21,6,3.14,9.6,37,1,2,1,0,0,0
145,32,15.6,19,0.59375,64.1,10,2,3,3,1.63,1.5,13,0,1,5,0,0,0
247,110,23.6,69,0.627272727,25.1,10,9.5,8,4,2.13,3.7,30,1,1,1,0,0,0
63,30,13.3,15,0.5,9.5,8,2.38,3,3,1.8,1.5,12,1,1,2,0,0,0
35,11,18.2,7,0.636363636,51.4,2,3.5,3,3,1.73,2,4,0,1,0,0,0,0
97,44,20.5,17,0.386363636,33,5,6.4,9,5,2.39,2.8,13,4,1,0,0,0,0
99,46,23.9,22,0.47826087,26.3,4,9.75,10,5,2.65,3.75,13,0,1,1,0,0,0
121,72,61.1,43,0.597222222,11.6,3,22,20,5,3.1,13,32,1,1,0,0,0,0
169,58,46.6,33,0.568965517,50.3,4,12.75,36,5,2.78,10.75,24,1,1,0,0,0,0
97,46,26.1,17,0.369565217,21.6,2.5,7.4,16,4,2.39,7,16,1,1,1,0,0,0
31,14,7.1,9,0.642857143,41.9,2,5,2,3,1.71,1.5,3,0,1,0,0,0,0
61,33,18.2,14,0.424242424,24.6,3,7.33,7,3,1.85,3,8,6,1,1,0,0,0
542,199,19.6,85,0.427135678,48.3,12,3.89,32,5,2.04,3.06,55,9,0,0,1,0,0
88,54,37,23,0.425925926,17,2,24.5,18,7,3.09,9.5,16,1,1,0,0,0,0
8,5,0,1,0.2,0,1,1,1,2,0.8,1,1,1,1,0,0,0,0
35,18,22.2,7,0.388888889,28.6,3,3.33,3,2,1.44,2.33,5,3,1,1,0,0,0
